EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10088049,UNION CO., ,08/01/1970,1900,Tornado,0,F1,0,1,25000,0,NC,CST, , ,C,179, ,0,0, , ,2,100,0, ,0, , ,08/01/1970,1900,35.00,-80.40, , ,"","",1
10088058,RANDOLPH CO., ,08/18/1970,1545,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,151, ,0,0, , ,0,7,0, ,0, , ,08/18/1970,1545,35.90,-79.98, , ,"","",2
10088063,HARNETT CO., ,01/05/1971,230,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,85, ,0,0, , ,1.5,150,0, ,0, , ,01/05/1971,230,35.25,-78.92, , ,"","",3
10088066,CUMBERLAND CO., ,02/22/1971,1630,Tornado,0,F3,2,60,2500000,0,NC,CST, , ,C,51, ,0,0, , ,16.1,500,0, ,0, , ,02/22/1971,1630,35.08,-78.92,35.17,-78.65,"","",4
10088067,SAMPSON CO., ,02/22/1971,1645,Tornado,0,F3,0,0,250,0,NC,CST, , ,C,163, ,0,0, , ,69.6,300,0, ,0, , ,02/22/1971,1645,35.17,-78.65,35.70,-77.60,"","",5
10088071,CUMBERLAND CO., ,03/15/1971,1430,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,51, ,0,0, , ,64,50,0, ,0, , ,03/15/1971,1430,35.20,-79.03,35.23,-77.90,"","",6
10088077,CRAVEN CO., ,05/13/1971,850,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,49, ,0,0, , ,44.4,300,0, ,0, , ,05/13/1971,850,35.12,-77.20,35.55,-76.62,"","",7
10089171,PITT CO., ,05/15/1972,1958,Tornado,0,F3,0,4,2500000,0,NC,CST, , ,C,147, ,0,0, , ,8.5,120,0, ,0, , ,05/15/1972,1958,35.58,-77.52,35.60,-77.37,"","",8
10089177,NEW HANOVER CO., ,08/01/1972,530,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,129, ,0,0, , ,0,3,0, ,0, , ,08/01/1972,530,34.20,-77.93, , ,"","",9
10089179,CARTERET CO., ,09/30/1972,1600,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,31, ,0,0, , ,0,33,0, ,0, , ,09/30/1972,1600,34.75,-76.68, , ,"","",10
10089180,ONSLOW CO., ,10/24/1972,1606,Tornado,0,F2,0,0,25000,0,NC,CST, , ,C,133, ,0,0, , ,.7,150,0, ,0, , ,10/24/1972,1606,34.75,-77.38, , ,"","",11
10089182,PENDER CO., ,04/26/1973,2318,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,141, ,0,0, , ,1.5,100,0, ,0, , ,04/26/1973,2318,34.38,-77.72, , ,"","",12
10089183,BEAUFORT CO., ,04/27/1973,315,Tornado,0,F2,1,1,25000,0,NC,CST, , ,C,13, ,0,0, , ,.5,123,0, ,0, , ,04/27/1973,315,35.47,-76.70, , ,"","",13
10089184,RICHMOND CO., ,05/11/1973,1700,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,153, ,0,0, , ,0,33,0, ,0, , ,05/11/1973,1700,35.30,-79.80, , ,"","",14
10089187,HARNETT CO., ,05/17/1973,1700,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,85, ,0,0, , ,0,33,0, ,0, , ,05/17/1973,1700,35.47,-78.75, , ,"","",15
10089189,PASQUOTANK CO., ,05/20/1973,915,Tornado,0,F2,0,2,250000,0,NC,CST, , ,C,139, ,0,0, , ,2.7,33,0, ,0, , ,05/20/1973,915,36.37,-76.20,36.38,-76.15,"","",16
10089194,MARTIN CO., ,05/23/1973,1130,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,117, ,0,0, , ,1,33,0, ,0, , ,05/23/1973,1130,35.72,-77.00, , ,"","",17
10089200,CATAWBA CO., ,05/23/1973,2130,Tornado,0,F1,0,2,25000,0,NC,CST, , ,C,35, ,0,0, , ,0,33,0, ,0, , ,05/23/1973,2130,35.58,-81.20, , ,"","",18
10089201,MOORE CO., ,05/24/1973,1500,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,125, ,0,0, , ,0,33,0, ,0, , ,05/24/1973,1500,35.35,-79.32, , ,"","",19
10089203,CHOWAN CO., ,05/24/1973,2030,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,41, ,0,0, , ,0,33,0, ,0, , ,05/24/1973,2030,36.07,-76.62, , ,"","",20
10089204,ALLEGHANY CO., ,05/27/1973,1730,Tornado,0,F1,0,1,250000,0,NC,CST, , ,C,5, ,0,0, , ,0,33,0, ,0, , ,05/27/1973,1730,36.52,-81.13, , ,"","",21
10089205,CATAWBA CO., ,05/27/1973,1800,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,35, ,0,0, , ,31.3,300,0, ,0, , ,05/27/1973,1800,35.63,-81.35,35.88,-80.88,"","",22
10089206,CLEVELAND CO., ,05/27/1973,1900,Tornado,0,F3,0,3,250000,0,NC,CST, , ,C,45, ,0,0, , ,13.2,100,0, ,0, , ,05/27/1973,1900,35.17,-81.77,35.30,-81.60,"","",23
10089207,RUTHERFORD CO., ,05/27/1973,1915,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,161, ,0,0, , ,0,33,0, ,0, , ,05/27/1973,1915,35.38,-81.83, , ,"","",24
10089208,CALDWELL CO., ,05/27/1973,2000,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,27, ,0,0, , ,10.4,100,0, ,0, , ,05/27/1973,2000,35.92,-81.67,35.98,-81.50,"","",25
10089209,LINCOLN CO., ,05/27/1973,2030,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,109, ,0,0, , ,0,33,0, ,0, , ,05/27/1973,2030,35.47,-81.33, , ,"","",26
10089211,WILKES CO., ,05/27/1973,2305,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,193, ,0,0, , ,9.1,33,0, ,0, , ,05/27/1973,2305,36.30,-81.03,36.35,-80.88,"","",27
10089212,SURRY CO., ,05/27/1973,2325,Tornado,0,F1,0,3,250000,0,NC,CST, , ,C,171, ,0,0, , ,23.2,33,0, ,0, , ,05/27/1973,2325,36.35,-80.88,36.45,-80.48,"","",28
10089213,FORSYTH CO., ,05/28/1973,1,Tornado,0,F0,0,2,25000,0,NC,CST, , ,C,67, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,1,36.17,-80.30, , ,"","",29
10089216,CABARRUS CO., ,05/28/1973,500,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,25, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,500,35.28,-80.63, , ,"","",30
10089217,MECKLENBURG CO., ,05/28/1973,500,Tornado,0,F2,0,0,250000,0,NC,CST, , ,C,119, ,0,0, , ,9.6,100,0, ,0, , ,05/28/1973,500,35.20,-80.98,35.30,-80.87,"","",31
10089218,MONTGOMERY CO., ,05/28/1973,1400,Tornado,0,F0,0,0,250000,0,NC,CST, , ,C,123, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,1400,35.33,-79.82, , ,"","",32
10089220,WAKE CO., ,05/28/1973,1500,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,183, ,0,0, , ,3,33,0, ,0, , ,05/28/1973,1500,35.98,-78.53,36.00,-78.48,"","",33
10089222,FRANKLIN CO., ,05/28/1973,1505,Tornado,0,F1,0,2,25000,0,NC,CST, , ,C,69, ,0,0, , ,3.4,33,0, ,0, , ,05/28/1973,1505,36.00,-78.48,36.05,-78.48,"","",34
10089223,MECKLENBURG CO., ,05/28/1973,1700,Tornado,0,F1,0,1,250000,0,NC,CST, , ,C,119, ,0,0, , ,0,50,0, ,0, , ,05/28/1973,1700,35.22,-80.93, , ,"","",35
10089224,DAVIDSON CO., ,05/28/1973,1700,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,57, ,0,0, , ,1.3,33,0, ,0, , ,05/28/1973,1700,35.88,-80.07,35.88,-80.03,"","",36
10089582,RANDOLPH CO., ,05/28/1973,1710,Tornado,0,F1,0,0,250000,0,NC,CST, , ,C,151, ,0,0, , ,2.7,33,0, ,0, , ,05/28/1973,1710,35.88,-80.03,35.88,-79.98,"","",37
10089794,CABARRUS CO., ,05/28/1973,1800,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,25, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,1800,35.20,-80.53, , ,"","",38
10089795,GASTON CO., ,05/28/1973,1800,Tornado,0,F0,0,0,0,0,NC,CST, , ,C,71, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,1800,35.27,-81.18, , ,"","",39
10089796,HALIFAX CO., ,05/28/1973,1830,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,83, ,0,0, , ,24.1,33,0, ,0, , ,05/28/1973,1830,36.02,-77.40,36.37,-77.37,"","",40
10089799,HERTFORD CO., ,05/28/1973,1945,Tornado,0,F1,0,1,250000,0,NC,CST, , ,C,91, ,0,0, , ,0,33,0, ,0, , ,05/28/1973,1945,36.38,-77.00, , ,"","",41
10089800,NASH CO., ,05/28/1973,2000,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,127, ,0,0, , ,1,33,0, ,0, , ,05/28/1973,2000,35.97,-77.80, , ,"","",42
10089803,WAKE CO., ,05/29/1973,200,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,183, ,0,0, , ,0,33,0, ,0, , ,05/29/1973,200,35.85,-78.37, , ,"","",43
10089804,BERTIE CO., ,05/29/1973,200,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,15, ,0,0, , ,0,33,0, ,0, , ,05/29/1973,200,36.18,-77.22, , ,"","",44
10089805,CUMBERLAND CO., ,05/29/1973,400,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,51, ,0,0, , ,0,33,0, ,0, , ,05/29/1973,400,35.23,-78.72, , ,"","",45
10089809,JOHNSTON CO., ,05/29/1973,500,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,101, ,0,0, , ,17.9,33,0, ,0, , ,05/29/1973,500,35.53,-78.33,35.57,-78.02,"","",46
10089810,PITT CO., ,05/29/1973,1330,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,147, ,0,0, , ,12.9,33,0, ,0, , ,05/29/1973,1330,35.58,-77.35,35.77,-77.30,"","",47
10089811,GREENE CO., ,05/29/1973,1350,Tornado,0,F0,0,0,25000,0,NC,CST, , ,C,79, ,0,0, , ,0,33,0, ,0, , ,05/29/1973,1350,35.45,-77.63, , ,"","",48
10089813,PENDER CO., ,06/13/1973,1500,Tornado,0,F0,0,0,2500,0,NC,CST, , ,C,141, ,0,0, , ,0,33,0, ,0, , ,06/13/1973,1500,34.52,-77.98, , ,"","",49
10089814,DAVIDSON CO., ,06/17/1973,1800,Tornado,0,F1,0,2,2500,0,NC,CST, , ,C,57, ,0,0, , ,0,33,0, ,0, , ,06/17/1973,1800,35.85,-80.30, , ,"","",50
10089824,WASHINGTON CO., ,09/14/1973,1500,Tornado,0,F2,0,0,25000,0,NC,CST, , ,C,187, ,0,0, , ,11.2,300,0, ,0, , ,09/14/1973,1500,35.83,-76.75,35.90,-76.57,"","",51
10089825,LENOIR CO., ,09/14/1973,1600,Tornado,0,F1,0,0,25000,0,NC,CST, , ,C,107, ,0,0, , ,5.2,67,0, ,0, , ,09/14/1973,1600,35.22,-77.50,35.25,-77.42,"","",52
